sku,Nombre,Descripción,Precio rebajado,Precio normal,Categorías,Nombre del atributo 1,Valor(es) del atributo 1,Atributo visible 1,Atributo global 1,Imágenes,Marca
200344,GLORIA VANDERBILT Nº1 ESTUCHE,GLORIA VANDERBILT Nº1 ESTUCHE 2 pz,8.45,9.95,Perfumes>Tipo de perfume>Estuches de perfume>Eau de Parfum,Tamaño,2u,1,1,https://i1.perfumesclub.com/grande/200344.jpg,Vanderbilt
201402,GLORIA VANDERBILT Nº1 ESTUCHE,GLORIA VANDERBILT Nº1 ESTUCHE 2 pz,7.62,11.95,Perfumes>Tipo de perfume>Estuches de perfume>Eau de Parfum,Tamaño,2u,1,1,https://i1.perfumesclub.com/grande/201402.jpg,Vanderbilt
199596,IN RED ESTUCHE,IN RED ESTUCHE 2 pz,11.59,12.95,Perfumes>Tipo de perfume>Estuches de perfume>Eau de Toilette,Tamaño,2u,1,1,"https://i1.perfumesclub.com/grande/199596.jpg,https://i1.perfumesclub.com/grande/199596-2.jpg,https://i1.perfumesclub.com/grande/199596-3.jpg",Vanderbilt
199593,IN RED loción corporal,IN RED loción corporal 100 ml,3.69,4.5,Cosmética Corporal>Tratamientos Corporales>Hidratantes corporales,Tamaño,100ml,1,1,https://i1.perfumesclub.com/grande/199593.jpg,Vanderbilt
199591,GLORIA VANDERBILT Nº1 deo roll on,GLORIA VANDERBILT Nº1 deo roll on 50 ml,7.41,4.5,Higiene>Desodorantes,Tamaño,50ml,1,1,https://i1.perfumesclub.com/grande/199591.jpg,Vanderbilt
4252,VANDERBILT,VANDERBILT eau de toilette vaporizador 15 ml,9.99,9.99,Perfumes>Tipo de perfume>Eau de Toilette,Tamaño,15ml,1,1,"https://i1.perfumesclub.com/mklgrande/4252.jpg,https://i1.perfumesclub.com/mklgrande/4252-2.jpg,https://i1.perfumesclub.com/mklgrande/4252-3.jpg,https://i1.perfumesclub.com/mklgrande/4252-4.jpg",Vanderbilt
4254,VANDERBILT,VANDERBILT eau de toilette vaporizador 30 ml,32.42,32.42,Perfumes>Tipo de perfume>Eau de Toilette,Tamaño,30ml,1,1,"https://i1.perfumesclub.com/mklgrande/4254.jpg,https://i1.perfumesclub.com/mklgrande/4254-2.jpg,https://i1.perfumesclub.com/mklgrande/4254-3.jpg,https://i1.perfumesclub.com/mklgrande/4254-4.jpg",Vanderbilt
4257,VANDERBILT,VANDERBILT eau de toilette vaporizador 100 ml,8.11,9.95,Perfumes>Tipo de perfume>Eau de Toilette,Tamaño,100ml,1,1,"https://i1.perfumesclub.com/grande/4257.jpg,https://i1.perfumesclub.com/grande/4257-2.jpg",Vanderbilt
4265,MAROUSSIA deo vaporizador,MAROUSSIA deo vaporizador 150 ml,2.95,5,Higiene>Desodorantes,Tamaño,150ml,1,1,https://i1.perfumesclub.com/grande/4265.jpg,Vanderbilt
4249,MAROUSSIA,MAROUSSIA eau de toilette vaporizador 100 ml,9.95,15,Perfumes>Tipo de perfume>Eau de Toilette,Tamaño,100ml,1,1,https://i1.perfumesclub.com/grande/4249.jpg,Vanderbilt
